date,cpi,gas_price,hourly_wage,year,month,month_name,cpi_yoy_pct,gas_yoy_pct,wage_yoy_pct,real_wage,real_wage_index
1990-08-01,131.6,1.218,10.24,1990,8,August,,,,7.781155015197569,100.0
1990-09-01,132.5,1.258,10.27,1990,9,September,,,,7.750943396226415,99.61173349056604
1990-10-01,133.4,1.3354,10.3,1990,10,October,,,,7.721139430284858,99.22870595952024
1990-11-01,133.7,1.324,10.32,1990,11,November,,,,7.7187733732236365,99.1982984293194
1990-12-01,134.2,1.341,10.34,1990,12,December,,,,7.704918032786885,99.02023565573771
1991-01-01,134.7,1.18,10.37,1991,1,January,,,,7.698589458054937,98.93890358203416
1991-02-01,134.8,1.0942500000000002,10.39,1991,2,February,,,,7.707715133531156,99.0561827707715
1991-03-01,134.8,1.04,10.41,1991,3,March,,,,7.722551928783382,99.24685877225518
1991-04-01,135.1,1.0762,10.46,1991,4,April,,,,7.742413027387121,99.5021049222798
1991-05-01,135.6,1.12575,10.5,1991,5,May,,,,7.743362831858408,99.51431139380531
1991-06-01,136.0,1.12825,10.51,1991,6,June,,,,7.727941176470587,99.31611902573528
1991-07-01,136.2,1.0956,10.54,1991,7,July,,,,7.738619676945668,99.45335444199706
1991-08-01,136.6,1.1147500000000001,10.56,1991,8,August,3.7993920972644313,-8.477011494252862,3.125,7.730600292825769,99.35029282576868
1991-09-01,137.0,1.1092,10.58,1991,9,September,3.396226415094339,-11.828298887122424,3.018500486854925,7.7226277372262775,99.24783302919707
1991-10-01,137.2,1.088,10.59,1991,10,October,2.8485757121439192,-18.52628425939792,2.8155339805825186,7.71865889212828,99.19682716836735
1991-11-01,137.8,1.099,10.61,1991,11,November,3.0665669409125185,-16.9939577039275,2.8100775193798277,7.699564586357038,98.95143550435412
1991-12-01,138.2,1.0762,10.64,1991,12,December,2.980625931445613,-19.746457867263235,2.9013539651837617,7.698986975397975,98.94401230101305
1992-01-01,138.3,1.022,10.64,1992,1,January,2.672605790645899,-13.389830508474565,2.6036644165863265,7.693420101229212,98.87246926970354
1992-02-01,138.6,1.006,10.66,1992,2,February,2.8189910979228294,-8.06488462417182,2.5986525505293567,7.691197691197692,98.84390782828282
1992-03-01,139.1,1.0126,10.68,1992,3,March,3.189910979228472,-2.634615384615391,2.5936599423631135,7.677929547088426,98.6733914450036
1992-04-01,139.4,1.05175,10.72,1992,4,April,3.1828275351591495,-2.2718825497119566,2.48565965583174,7.690100430416069,98.82980631276901
1992-05-01,139.7,1.10725,10.74,1992,5,May,3.0235988200590036,-1.643348878525419,2.285714285714291,7.68790264853257,98.80156138153185
1992-06-01,140.1,1.1448,10.77,1992,6,June,3.0147058823529305,1.4668734766230873,2.473834443387246,7.687366167023554,98.79466675588864
