date,cpi,gas_price,hourly_wage,year,month,month_name
1947-01-01,21.48,,,1947,1,January
1947-02-01,21.62,,,1947,2,February
1947-03-01,22.0,,,1947,3,March
1947-04-01,22.0,,,1947,4,April
1947-05-01,21.95,,,1947,5,May
1947-06-01,22.08,,,1947,6,June
1947-07-01,22.23,,,1947,7,July
1947-08-01,22.4,,,1947,8,August
1947-09-01,22.84,,,1947,9,September
1947-10-01,22.91,,,1947,10,October
1947-11-01,23.06,,,1947,11,November
1947-12-01,23.41,,,1947,12,December
1948-01-01,23.68,,,1948,1,January
1948-02-01,23.67,,,1948,2,February
1948-03-01,23.5,,,1948,3,March
1948-04-01,23.82,,,1948,4,April
1948-05-01,24.01,,,1948,5,May
1948-06-01,24.15,,,1948,6,June
1948-07-01,24.4,,,1948,7,July
1948-08-01,24.43,,,1948,8,August
1948-09-01,24.36,,,1948,9,September
1948-10-01,24.31,,,1948,10,October
1948-11-01,24.16,,,1948,11,November
1948-12-01,24.05,,,1948,12,December
1949-01-01,24.01,,,1949,1,January
1949-02-01,23.91,,,1949,2,February
1949-03-01,23.91,,,1949,3,March
1949-04-01,23.92,,,1949,4,April
1949-05-01,23.91,,,1949,5,May
1949-06-01,23.92,,,1949,6,June
1949-07-01,23.7,,,1949,7,July
1949-08-01,23.7,,,1949,8,August
1949-09-01,23.75,,,1949,9,September
1949-10-01,23.67,,,1949,10,October
1949-11-01,23.7,,,1949,11,November
1949-12-01,23.61,,,1949,12,December
1950-01-01,23.51,,,1950,1,January
1950-02-01,23.61,,,1950,2,February
1950-03-01,23.64,,,1950,3,March
1950-04-01,23.65,,,1950,4,April
1950-05-01,23.77,,,1950,5,May
1950-06-01,23.88,,,1950,6,June
1950-07-01,24.07,,,1950,7,July
1950-08-01,24.2,,,1950,8,August
1950-09-01,24.34,,,1950,9,September
1950-10-01,24.5,,,1950,10,October
1950-11-01,24.6,,,1950,11,November
1950-12-01,24.98,,,1950,12,December
1951-01-01,25.38,,,1951,1,January
1951-02-01,25.83,,,1951,2,February
1951-03-01,25.88,,,1951,3,March
